Country,Code,ContinentCode,Year,Rate of change of real GDP,GDP (billions USD),GDP per capita (current USD),Population size (millions)
Malaysia,MYS,AS,2007,6.3,193.55,7144,27.09
Malaysia,MYS,AS,2008,4.83,230.81,8343.3,27.66
Malaysia,MYS,AS,2009,-1.51,202.26,7167.88,28.22
Malaysia,MYS,AS,2010,7.42,255.02,8880.15,28.72
Malaysia,MYS,AS,2011,5.29,297.95,10209.37,29.18
Malaysia,MYS,AS,2012,5.47,314.44,10601.51,29.66
Malaysia,MYS,AS,2013,4.69,323.28,10727.67,30.13
Malaysia,MYS,AS,2014,6.01,338.07,11045.58,30.61
Malaysia,MYS,AS,2015,5.09,301.35,9699.58,31.07
Malaysia,MYS,AS,2016,4.45,301.26,9555.65,31.53
Malaysia,MYS,AS,2017,5.81,319.11,9979.71,31.98
Malaysia,MYS,AS,2018,4.84,358.79,11073.98,32.4
Malaysia,MYS,AS,2019,4.41,365.18,11132.1,32.8
Malaysia,MYS,AS,2020,-5.53,337.34,10160.83,33.2
Malaysia,MYS,AS,2021,3.09,372.98,11109.27,33.57
Philippines,PHL,AS,2000,4.38,83.67,1073.26,77.96
Philippines,PHL,AS,2001,3.05,78.92,991.15,79.63
Philippines,PHL,AS,2002,3.72,84.31,1037.17,81.29
Philippines,PHL,AS,2003,5.09,87.04,1049.39,82.94
Philippines,PHL,AS,2004,6.57,95,1122.86,84.61
Philippines,PHL,AS,2005,4.94,107.42,1245.29,86.26
Philippines,PHL,AS,2006,5.32,127.65,1452.22,87.9
Philippines,PHL,AS,2007,6.52,155.98,1741.6,89.56
Philippines,PHL,AS,2008,4.34,181.62,1990.36,91.25
Philippines,PHL,AS,2009,1.45,175.97,1893.28,92.95
Philippines,PHL,AS,2010,7.33,208.37,2201.78,94.64
Philippines,PHL,AS,2011,3.86,234.22,2431.2,96.34
Philippines,PHL,AS,2012,6.9,261.92,2671.78,98.03
Philippines,PHL,AS,2013,6.75,283.9,2847.57,99.7
Philippines,PHL,AS,2014,6.35,297.48,2935.93,101.33
Philippines,PHL,AS,2015,6.35,306.45,2974.3,103.03
Philippines,PHL,AS,2016,7.15,318.63,3038.15,104.88
Philippines,PHL,AS,2017,6.93,328.48,3077.43,106.74
Philippines,PHL,AS,2018,6.34,346.84,3194.67,108.57
Philippines,PHL,AS,2019,6.12,376.82,3413.85,110.38
Philippines,PHL,AS,2020,-9.52,361.75,3224.42,112.19
Philippines,PHL,AS,2021,5.71,394.09,3460.54,113.88
Singapore,SGP,AS,2000,9.04,96.08,23852.83,4.03
Singapore,SGP,AS,2001,-1.07,89.79,21699.75,4.14
Singapore,SGP,AS,2002,3.92,92.54,22159.83,4.18
Singapore,SGP,AS,2003,4.55,97.65,23730.38,4.11
Singapore,SGP,AS,2004,9.94,115.03,27608.07,4.17
Singapore,SGP,AS,2005,7.37,127.81,29961.31,4.27
Singapore,SGP,AS,2006,9.01,148.63,33768.45,4.4
Singapore,SGP,AS,2007,9.02,180.94,39432.89,4.59
Singapore,SGP,AS,2008,1.86,193.62,40008.58,4.84
Singapore,SGP,AS,2009,0.13,194.15,38926.81,4.99
Singapore,SGP,AS,2010,14.52,239.81,47236.67,5.08
Singapore,SGP,AS,2011,6.21,279.36,53891.46,5.18
Singapore,SGP,AS,2012,4.44,295.09,55547.55,5.31
Singapore,SGP,AS,2013,4.82,307.58,56967.43,5.4
Singapore,SGP,AS,2014,3.94,314.86,57564.8,5.47
Singapore,SGP,AS,2015,2.98,308,55645.61,5.54
Singapore,SGP,AS,2016,3.6,319.03,56895.64,5.61
Singapore,SGP,AS,2017,4.54,343.27,61164.9,5.61
Singapore,SGP,AS,2018,3.58,376.87,66836.54,5.64
Singapore,SGP,AS,2019,1.33,376.84,66070.47,5.7
Singapore,SGP,AS,2020,-3.9,348.39,61274.01,5.69
Singapore,SGP,AS,2021,8.88,423.8,77710.07,5.45
Thailand,THA,AS,2000,4.46,126.39,2004.11,63.07
Thailand,THA,AS,2001,3.44,120.3,1889.97,63.65
Thailand,THA,AS,2002,6.15,134.3,2091.18,64.22
Thailand,THA,AS,2003,7.19,152.28,2350.85,64.78
Thailand,THA,AS,2004,6.29,172.9,2647.26,65.31
Thailand,THA,AS,2005,4.19,189.32,2876.25,65.82
Thailand,THA,AS,2006,4.97,221.76,3343.79,66.32
Thailand,THA,AS,2007,5.44,262.94,3934.69,66.83
Thailand,THA,AS,2008,1.73,291.38,4327.8,67.33
Thailand,THA,AS,2009,-0.69,281.71,4154.19,67.81
Thailand,THA,AS,2010,7.51,341.1,4996.37,68.27
Thailand,THA,AS,2011,0.84,370.82,5396.64,68.71
Thailand,THA,AS,2012,7.24,397.56,5748.63,69.16
Thailand,THA,AS,2013,2.69,420.33,6041.13,69.58
Thailand,THA,AS,2014,0.98,407.34,5822.38,69.96
Thailand,THA,AS,2015,3.13,401.3,5708.79,70.29
Thailand,THA,AS,2016,3.44,413.37,5854.46,70.61
Thailand,THA,AS,2017,4.18,456.36,6436.79,70.9
Thailand,THA,AS,2018,4.22,506.75,7124.56,71.13
Thailand,THA,AS,2019,2.11,543.98,7628.58,71.31
Thailand,THA,AS,2020,-6.07,500.46,7001.79,71.48
Thailand,THA,AS,2021,1.49,505.57,7060.9,71.6
Vietnam,VNM,AS,2000,6.79,31.17,394.58,79
Vietnam,VNM,AS,2001,6.19,32.69,409.5,79.82
Vietnam,VNM,AS,2002,6.32,35.06,434.81,80.64
Vietnam,VNM,AS,2003,6.9,39.55,485.45,81.48
Vietnam,VNM,AS,2004,7.54,45.43,551.9,82.31
Vietnam,VNM,AS,2005,7.55,57.63,693.19,83.14
Vietnam,VNM,AS,2006,6.98,66.37,790.59,83.95
Vietnam,VNM,AS,2007,7.13,77.41,913.31,84.76
Vietnam,VNM,AS,2008,5.66,99.13,1158.1,85.6
Vietnam,VNM,AS,2009,5.4,106.01,1225.84,86.48
Vietnam,VNM,AS,2010,6.42,147.2,1684.01,87.41
Vietnam,VNM,AS,2011,6.41,172.6,1953.56,88.35
Vietnam,VNM,AS,2012,5.5,195.59,2190.23,89.3
Vietnam,VNM,AS,2013,5.55,213.71,2367.5,90.27
Vietnam,VNM,AS,2014,6.42,233.45,2558.78,91.24
Vietnam,VNM,AS,2015,6.99,239.26,2595.23,92.19
Vietnam,VNM,AS,2016,6.69,257.1,2760.72,93.13
Vietnam,VNM,AS,2017,6.94,281.35,2992.07,94.03
Vietnam,VNM,AS,2018,7.46,310.11,3267.23,94.91
Vietnam,VNM,AS,2019,7.36,334.37,3491.09,95.78
Vietnam,VNM,AS,2020,2.87,346.62,3586.35,96.65
Vietnam,VNM,AS,2021,2.56,366.14,3756.49,97.47
